Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195596,1062,A.M-E.C,gerawa,1,1,1,12/3/2024,3:46PM,Drug
1195596,1063,R.A-C,gerawa,1,1,1,12/3/2024,3:46PM,Drug
1195596,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,12/3/2024,3:46PM,Supply
1195639,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,4/30/2024,6:27PM,Supply
1195641,1069,C%2-A,gerawa,1,1,1,8/31/2024,6:31PM,Drug
1195641,1063,R.A-C,gerawa,1,1,1,8/31/2024,6:30PM,Drug
1195641,1062,A.M-E.C,gerawa,1,1,1,8/31/2024,6:30PM,Drug
1195641,3.40156E+12,BIODERMA Photoderm  max  spf 50  40ml toucher  sec dry touch,Cream,1,1,1,8/31/2024,6:30PM,Supply
1195641,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,8/31/2024,6:30PM,Supply
1195641,8.90425E+12,istovin 20mg,Capsule,3,2,0,8/31/2024,6:29PM,Drug
1195689,1073,P-M 30ml or 40ml,gerawa,1,1,1,7/19/2024,2:05PM,Drug
1195689,6.02402E+12,HAIR BOOSTER 60gum,gum,1,1,1,7/19/2024,2:04PM,Drug
1195689,3.6604E+12,cystiphane biorga hair loss,Shampoo,1,1,1,7/19/2024,2:04PM,Supply
1195710,1069,C%2-A,gerawa,1,1,1,10/8/2024,2:39PM,Drug
1195710,1069,C%2-A,gerawa,1,1,1,10/8/2024,2:39PM,Drug
1195710,1062,A.M-E.C,gerawa,1,1,1,10/8/2024,2:38PM,Drug
1195710,1063,R.A-C,gerawa,1,1,1,10/8/2024,2:38PM,Drug
1195710,8.90425E+12,istovin 20mg,Capsule,3,2,0,10/8/2024,2:38PM,Drug
1195710,3.40158E+12,BIODERMA SEBIUM,foaming jel,1,1,1,10/8/2024,2:38PM,Supply
1195710,3.40158E+12,BIODERMA SEBIUM,foaming jel,1,1,1,10/8/2024,2:37PM,Supply
1195737,1063,R.A-C,gerawa,1,1,1,12/25/2024,4:25PM,Drug
1195737,1062,A.M-E.C,gerawa,1,1,1,12/25/2024,4:25PM,Drug
1195739,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,7/4/2024,4:37PM,Supply
1195739,3.6604E+12,cystiphane biorga,Tablet,6,6,1,7/4/2024,4:37PM,Drug
1195739,3.6604E+12,cystiphane biorga hair loss,Shampoo,1,1,1,7/4/2024,4:37PM,Supply
1195768,5.31009E+12,Trimoksazol  (400+80)mg,Tablet,2,2,1,6/9/2024,6:10PM,Drug
1195768,8.90146E+12,isomac 20,Capsule,3,2,0,6/9/2024,6:10PM,Drug
1195807,1067,S.A %3 -D,gerawa,1,1,1,10/4/2024,8:06PM,Drug
1195807,5.70219E+12,Fucidine 15G oint,Ointment,1,1,1,10/4/2024,8:06PM,Drug
1195807,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,10/4/2024,8:06PM,Drug
1195807,4.26022E+12,CAELIN  BABY CARE,Soap,1,1,1,10/4/2024,8:06PM,Supply
1195807,6490,Chlomal 100ml,Syrup,1,1,1,10/4/2024,8:06PM,Drug
1195825,1079,T-B,gerawa,1,1,1,12/23/2024,1:43PM,Drug
1195828,6490,Chlomal 100ml,Syrup,1,1,1,8/2/2024,2:05PM,Drug
1195831,4.26022E+12,CAELIN  BABY CARE,Soap,1,5,5,10/17/2024,2:09PM,Supply
1195862,1065,S.A % 1.5 -E.O,gerawa,1,1,1,4/13/2024,3:50PM,Drug
1195864,3.6604E+12,cystiphane biorga hair loss,Shampoo,1,1,1,2/21/2024,4:10PM,Supply
1195864,3.6604E+12,cystiphane biorga,Tablet,6,6,1,2/21/2024,4:10PM,Drug
1195910,8.58801E+12,Aloe and lime lip balm spf 10,lip balm,1,1,1,3/11/2024,6:48PM,Supply
1195910,1062,A.M-E.C,gerawa,1,1,1,3/11/2024,6:48PM,Drug
